,day,number,total
354,636,1,2455
355,639,1,2456
356,640,1,2457
357,642,1,2458
358,645,1,2459
359,647,2,2461
360,649,1,2462
361,650,1,2463
362,651,1,2464
363,654,1,2465
364,655,2,2467
365,656,1,2468
366,658,1,2469
367,661,1,2470
368,662,3,2473
369,672,1,2474
370,673,1,2475
371,678,1,2476
372,681,2,2478
373,682,2,2480
374,684,1,2481
375,687,2,2483
376,689,1,2484
377,690,1,2485
378,691,1,2486
379,692,1,2487
380,693,1,2488
381,696,3,2491
382,697,1,2492
383,698,3,2495
384,699,4,2499
385,701,1,2500
386,702,2,2502
387,704,3,2505
388,706,5,2510
389,707,2,2512
390,708,2,2514
391,711,2,2516
392,714,2,2518
393,716,1,2519
394,721,1,2520
395,722,1,2521
396,724,2,2523
397,725,3,2526
398,726,3,2529
399,728,2,2531
400,729,1,2532
401,732,3,2535
402,733,2,2537
403,734,2,2539
404,735,4,2543
405,737,1,2544
406,738,3,2547
407,739,2,2549
408,741,1,2550
409,742,3,2553
410,743,3,2556
411,744,2,2558
412,745,1,2559
413,746,1,2560
414,747,2,2562
415,748,2,2564
416,749,2,2566
417,750,2,2568
418,752,2,2570
419,753,1,2571
420,754,1,2572
421,755,1,2573
422,759,1,2574
423,760,3,2577
424,761,3,2580
425,762,2,2582
426,764,1,2583
427,766,4,2587
428,767,4,2591
429,768,1,2592
430,769,1,2593
431,772,1,2594
432,773,2,2596
433,774,2,2598
434,775,2,2600
435,776,1,2601
436,778,1,2602
437,780,2,2604
438,781,1,2605
439,783,1,2606
440,784,1,2607
441,785,1,2608
442,787,1,2609
443,789,2,2611
444,790,3,2614
445,793,1,2615
446,795,4,2619
447,797,1,2620
448,801,1,2621
449,802,1,2622
450,804,1,2623
451,805,2,2625
452,807,5,2630
453,809,1,2631
454,810,1,2632
455,811,2,2634
456,812,2,2636
457,815,2,2638
458,816,1,2639
459,817,2,2641
460,819,1,2642
461,820,1,2643
462,822,1,2644
463,823,1,2645
464,825,3,2648
465,829,1,2649
466,833,1,2650
467,835,1,2651
468,836,3,2654
469,837,1,2655
470,838,1,2656
471,839,1,2657
472,840,2,2659
473,842,1,2660
474,843,2,2662
475,846,1,2663
476,847,1,2664
477,848,1,2665
478,851,1,2666
479,853,1,2667
480,856,2,2669
481,858,1,2670
482,859,3,2673
483,860,1,2674
484,861,1,2675
485,864,1,2676
486,866,1,2677
487,867,1,2678
488,868,1,2679
489,872,1,2680
490,873,2,2682
491,874,2,2684
492,876,3,2687
493,879,1,2688
494,880,2,2690
495,886,2,2692
496,887,2,2694
497,892,2,2696
498,893,2,2698
499,894,4,2702
500,895,3,2705
501,897,1,2706
502,899,3,2709
503,902,1,2710
504,903,2,2712
505,905,1,2713
506,907,1,2714
507,909,3,2717
508,910,2,2719
509,913,1,2720
510,914,1,2721
511,915,2,2723
512,920,2,2725
513,921,3,2728
514,922,1,2729
515,923,1,2730
516,925,1,2731
517,926,1,2732
518,929,3,2735
519,931,2,2737
520,932,1,2738
521,935,2,2740
522,936,2,2742
523,937,1,2743
524,938,1,2744
525,941,1,2745
526,942,1,2746
527,943,4,2750
528,944,3,2753
529,945,3,2756
530,950,2,2758
531,956,1,2759
532,958,2,2761
533,959,3,2764
534,960,3,2767
535,961,1,2768
536,962,1,2769
537,963,1,2770
538,969,3,2773
539,970,1,2774
540,971,1,2775
541,972,2,2777
542,973,2,2779
543,979,2,2781
544,980,1,2782
545,981,1,2783
546,983,1,2784
547,984,1,2785
548,986,2,2787
549,990,2,2789
550,993,3,2792
551,994,1,2793
552,996,1,2794
553,997,3,2797
554,998,2,2799
555,999,1,2800
556,1001,2,2802
557,1005,2,2804
558,1007,2,2806
559,1008,1,2807
560,1009,3,2810
561,1011,2,2812
562,1012,1,2813
563,1013,3,2816
564,1014,2,2818
565,1015,3,2821
566,1016,1,2822
