,day,number,total
357,2490,1,482
358,2501,1,483
359,2506,1,484
360,2507,1,485
361,2508,1,486
362,2511,1,487
363,2517,1,488
364,2520,1,489
365,2522,1,490
366,2523,1,491
367,2524,2,493
368,2525,1,494
369,2528,1,495
370,2529,1,496
371,2530,1,497
372,2536,2,499
373,2537,3,502
374,2539,1,503
375,2541,1,504
376,2542,1,505
377,2543,1,506
378,2545,1,507
379,2548,1,508
380,2555,1,509
381,2556,1,510
382,2557,1,511
383,2559,1,512
384,2560,1,513
385,2561,1,514
386,2565,1,515
387,2570,1,516
388,2573,2,518
389,2579,2,520
390,2584,1,521
391,2586,2,523
392,2596,1,524
393,2597,1,525
394,2600,1,526
395,2611,1,527
396,2615,2,529
397,2616,1,530
398,2618,2,532
399,2620,1,533
400,2621,1,534
401,2634,1,535
402,2636,1,536
403,2640,1,537
404,2641,4,541
405,2656,1,542
406,2667,1,543
407,2684,1,544
408,2705,1,545
409,2709,1,546
410,2712,1,547
411,2716,1,548
412,2723,1,549
413,2725,1,550
414,2728,3,553
415,2734,1,554
416,2737,1,555
417,2746,1,556
418,2752,2,558
419,2755,1,559
420,2759,2,561
421,2765,1,562
422,2766,1,563
423,2771,1,564
424,2775,1,565
425,2776,1,566
426,2777,1,567
427,2781,1,568
428,2783,1,569
429,2787,1,570
430,2788,1,571
431,2792,1,572
432,2793,1,573
433,2794,2,575
434,2795,1,576
435,2796,1,577
436,2802,1,578
437,2804,1,579
