,day,number,total
341,501,3,1133
342,502,4,1137
343,503,3,1140
344,504,6,1146
345,505,2,1148
346,506,3,1151
347,507,1,1152
348,508,2,1154
349,509,2,1156
350,510,5,1161
351,511,1,1162
352,512,3,1165
353,513,2,1167
354,514,5,1172
355,515,1,1173
356,517,3,1176
357,518,2,1178
358,521,3,1181
359,522,2,1183
360,524,2,1185
361,525,3,1188
362,526,10,1198
363,527,5,1203
364,528,1,1204
365,530,1,1205
366,532,3,1208
367,533,4,1212
368,534,4,1216
369,535,1,1217
370,537,1,1218
371,538,2,1220
372,539,1,1221
373,540,2,1223
374,541,2,1225
375,542,2,1227
376,543,1,1228
377,544,1,1229
378,545,3,1232
379,546,1,1233
380,547,1,1234
381,548,5,1239
382,550,1,1240
383,552,2,1242
384,553,2,1244
385,554,1,1245
386,556,1,1246
387,559,2,1248
388,560,2,1250
389,563,1,1251
390,566,2,1253
391,567,5,1258
392,569,3,1261
393,571,1,1262
394,572,1,1263
395,573,2,1265
396,574,3,1268
397,575,3,1271
398,576,1,1272
399,578,1,1273
400,580,2,1275
401,581,1,1276
402,582,2,1278
403,583,2,1280
404,584,5,1285
405,585,1,1286
406,587,2,1288
407,588,1,1289
408,589,1,1290
409,591,2,1292
410,592,1,1293
411,593,4,1297
412,594,4,1301
413,595,1,1302
414,596,3,1305
415,597,2,1307
416,598,4,1311
417,599,1,1312
418,600,4,1316
419,601,6,1322
420,602,8,1330
421,603,5,1335
422,604,2,1337
423,605,1,1338
424,608,6,1344
425,609,2,1346
426,610,5,1351
427,611,3,1354
428,612,2,1356
429,615,2,1358
430,616,4,1362
431,617,2,1364
432,618,5,1369
433,619,2,1371
434,620,3,1374
435,621,2,1376
436,623,4,1380
437,624,7,1387
438,625,7,1394
439,626,5,1399
440,629,1,1400
441,631,10,1410
442,632,2,1412
443,633,5,1417
444,634,3,1420
445,635,7,1427
446,636,5,1432
447,637,11,1443
448,638,10,1453
449,639,4,1457
450,640,4,1461
451,641,6,1467
452,642,2,1469
453,643,9,1478
454,644,3,1481
455,645,4,1485
456,646,6,1491
457,647,4,1495
458,648,1,1496
459,649,4,1500
460,650,3,1503
461,651,1,1504
462,652,14,1518
463,653,4,1522
464,654,4,1526
465,655,11,1537
466,656,3,1540
467,657,7,1547
468,658,2,1549
469,659,3,1552
470,660,6,1558
471,661,9,1567
472,662,2,1569
473,663,4,1573
474,664,2,1575
475,665,2,1577
476,666,1,1578
477,667,4,1582
478,668,4,1586
479,669,3,1589
480,671,3,1592
481,672,5,1597
482,673,3,1600
483,674,6,1606
