,day,number,total
342,448,5,1227
343,449,7,1234
344,450,5,1239
345,453,9,1248
346,454,6,1254
347,455,3,1257
348,456,4,1261
349,457,5,1266
350,460,5,1271
351,461,6,1277
352,462,5,1282
353,463,3,1285
354,464,2,1287
355,465,2,1289
356,466,2,1291
357,467,4,1295
358,468,1,1296
359,469,1,1297
360,470,3,1300
361,471,2,1302
362,472,1,1303
363,475,1,1304
364,481,3,1307
365,482,1,1308
366,483,2,1310
367,484,1,1311
368,485,3,1314
369,486,4,1318
370,489,2,1320
371,490,1,1321
372,491,6,1327
373,492,4,1331
374,495,2,1333
375,502,4,1337
376,503,3,1340
377,504,3,1343
378,506,1,1344
379,509,4,1348
380,511,2,1350
381,513,3,1353
382,517,2,1355
383,518,2,1357
384,519,3,1360
385,520,2,1362
386,522,1,1363
387,523,5,1368
388,524,1,1369
389,526,1,1370
390,529,2,1372
391,530,2,1374
392,531,2,1376
393,532,1,1377
394,533,1,1378
395,534,3,1381
396,537,1,1382
397,538,4,1386
398,539,3,1389
399,540,3,1392
400,543,1,1393
401,544,3,1396
402,546,6,1402
403,547,4,1406
404,548,6,1412
405,549,1,1413
406,551,6,1419
407,552,2,1421
408,553,4,1425
409,554,2,1427
410,558,4,1431
411,560,2,1433
412,562,1,1434
413,563,1,1435
414,565,1,1436
415,566,1,1437
416,567,1,1438
417,568,10,1448
418,569,1,1449
419,572,2,1451
420,573,1,1452
421,574,3,1455
422,575,2,1457
423,579,3,1460
424,580,3,1463
425,581,2,1465
426,582,2,1467
427,583,1,1468
428,586,4,1472
429,587,3,1475
430,588,2,1477
431,589,2,1479
432,590,5,1484
433,591,1,1485
434,593,4,1489
435,594,1,1490
436,595,1,1491
437,596,4,1495
438,597,6,1501
439,598,2,1503
440,600,4,1507
441,601,8,1515
442,602,3,1518
443,603,3,1521
444,604,1,1522
445,608,3,1525
446,609,2,1527
447,610,2,1529
448,611,6,1535
449,614,3,1538
450,615,2,1540
451,617,1,1541
452,618,1,1542
453,621,1,1543
454,622,3,1546
455,623,2,1548
456,624,7,1555
457,625,5,1560
458,628,1,1561
459,629,1,1562
460,630,2,1564
461,632,3,1567
462,633,1,1568
463,635,3,1571
464,638,3,1574
465,639,2,1576
466,642,2,1578
467,643,2,1580
468,645,2,1582
469,646,1,1583
470,647,2,1585
471,648,1,1586
472,649,4,1590
473,650,5,1595
474,651,7,1602
475,652,5,1607
476,653,3,1610
477,656,1,1611
478,657,2,1613
479,658,2,1615
480,659,1,1616
481,660,3,1619
482,663,2,1621
483,664,1,1622
484,665,2,1624
485,666,3,1627
486,667,1,1628
487,668,1,1629
488,670,3,1632
489,671,1,1633
490,672,1,1634
491,673,2,1636
492,674,3,1639
493,677,2,1641
494,678,1,1642
495,679,2,1644
496,680,3,1647
497,681,2,1649
498,683,1,1650
499,685,1,1651
500,686,5,1656
501,688,1,1657
502,691,3,1660
503,693,1,1661
504,694,1,1662
505,695,2,1664
506,698,5,1669
507,700,3,1672
508,701,4,1676
509,702,3,1679
510,705,2,1681
511,706,1,1682
512,707,4,1686
513,709,2,1688
514,710,3,1691
515,712,1,1692
516,713,2,1694
517,715,1,1695
518,716,2,1697
519,720,1,1698
520,721,1,1699
521,722,1,1700
522,723,1,1701
523,726,6,1707
524,727,1,1708
525,728,5,1713
526,729,1,1714
527,730,3,1717
528,734,6,1723
529,735,1,1724
530,737,2,1726
531,740,4,1730
532,741,2,1732
533,743,2,1734
534,744,5,1739
535,747,2,1741
536,748,3,1744
537,749,3,1747
538,750,3,1750
539,751,1,1751
540,754,1,1752
541,755,1,1753
542,757,3,1756
543,762,2,1758
544,763,1,1759
545,765,2,1761
546,768,1,1762
547,770,1,1763
548,771,1,1764
549,772,1,1765
550,775,1,1766
551,778,1,1767
552,779,3,1770
553,782,1,1771
554,786,2,1773
555,789,1,1774
556,791,3,1777
557,792,2,1779
558,793,6,1785
559,796,3,1788
560,797,4,1792
561,798,4,1796
562,804,1,1797
563,805,3,1800
564,806,4,1804
565,807,3,1807
566,808,1,1808
567,809,1,1809
568,810,2,1811
569,811,4,1815
570,812,4,1819
571,813,5,1824
572,819,1,1825
