,day,number,total
392,653,2,1437
393,654,2,1439
394,655,1,1440
395,657,1,1441
396,658,1,1442
397,660,2,1444
398,661,2,1446
399,664,3,1449
400,665,4,1453
401,666,4,1457
402,667,2,1459
403,671,2,1461
404,672,1,1462
405,673,2,1464
406,674,2,1466
407,675,1,1467
408,678,2,1469
409,679,3,1472
410,680,4,1476
411,681,6,1482
412,682,1,1483
413,684,1,1484
414,686,3,1487
415,691,1,1488
416,693,1,1489
417,695,1,1490
418,698,3,1493
419,699,1,1494
420,700,2,1496
421,701,2,1498
422,702,3,1501
423,703,1,1502
424,706,3,1505
425,707,2,1507
426,708,2,1509
427,709,1,1510
428,710,2,1512
429,712,1,1513
430,713,1,1514
431,715,2,1516
432,722,2,1518
433,723,1,1519
434,724,1,1520
435,727,3,1523
436,728,4,1527
437,731,3,1530
438,733,1,1531
439,734,1,1532
440,735,2,1534
441,736,1,1535
442,737,5,1540
443,738,1,1541
444,741,1,1542
445,742,3,1545
446,744,4,1549
447,745,1,1550
448,748,2,1552
449,749,2,1554
450,750,1,1555
451,751,3,1558
452,752,1,1559
453,753,1,1560
454,754,1,1561
455,756,1,1562
456,757,2,1564
457,758,4,1568
458,763,1,1569
459,764,12,1581
460,765,4,1585
461,766,6,1591
462,767,1,1592
463,769,5,1597
464,770,1,1598
465,771,2,1600
466,772,5,1605
467,773,1,1606
468,776,2,1608
469,777,1,1609
470,778,1,1610
471,779,3,1613
472,780,2,1615
473,783,2,1617
474,784,3,1620
475,785,4,1624
476,786,5,1629
477,787,3,1632
478,790,4,1636
479,791,4,1640
480,792,5,1645
481,793,6,1651
482,797,2,1653
483,798,4,1657
484,799,5,1662
485,800,6,1668
486,801,7,1675
487,803,1,1676
488,804,9,1685
489,806,4,1689
490,807,1,1690
491,810,1,1691
492,811,1,1692
493,812,1,1693
494,813,2,1695
495,814,1,1696
496,815,9,1705
497,818,3,1708
498,819,5,1713
499,820,4,1717
500,821,6,1723
501,822,5,1728
502,825,2,1730
503,826,1,1731
504,827,2,1733
505,828,3,1736
506,829,4,1740
507,832,8,1748
508,833,3,1751
509,835,2,1753
510,836,10,1763
511,838,1,1764
512,839,5,1769
513,840,11,1780
514,841,4,1784
515,842,3,1787
516,843,5,1792
517,844,1,1793
518,846,2,1795
519,847,1,1796
520,848,2,1798
521,849,1,1799
522,851,1,1800
523,852,1,1801
524,853,2,1803
525,854,6,1809
526,855,2,1811
527,856,2,1813
528,857,4,1817
529,858,1,1818
530,860,4,1822
531,861,4,1826
532,862,2,1828
533,863,6,1834
534,864,1,1835
535,865,1,1836
536,866,1,1837
537,867,2,1839
538,868,3,1842
539,869,7,1849
540,870,1,1850
541,871,2,1852
542,873,1,1853
543,874,2,1855
544,875,3,1858
545,876,4,1862
546,877,4,1866
547,881,1,1867
548,883,1,1868
549,884,2,1870
550,885,1,1871
551,888,1,1872
552,891,2,1874
553,892,2,1876
554,895,1,1877
555,902,1,1878
556,903,4,1882
557,904,2,1884
558,905,2,1886
559,906,1,1887
560,908,1,1888
561,909,2,1890
562,910,5,1895
563,912,1,1896
564,913,1,1897
565,915,2,1899
566,916,1,1900
567,918,1,1901
568,919,1,1902
569,920,4,1906
570,921,1,1907
571,925,1,1908
572,926,2,1910
573,927,2,1912
574,930,1,1913
575,931,5,1918
576,932,1,1919
577,933,5,1924
578,934,1,1925
579,936,1,1926
580,937,1,1927
581,938,4,1931
582,939,1,1932
583,940,3,1935
584,946,2,1937
585,948,3,1940
586,950,1,1941
587,951,5,1946
588,952,1,1947
589,953,1,1948
590,954,4,1952
591,955,5,1957
592,958,4,1961
593,959,4,1965
594,960,4,1969
595,961,5,1974
596,962,4,1978
597,963,1,1979
598,965,1,1980
599,966,2,1982
600,967,1,1983
601,968,1,1984
602,971,3,1987
603,972,1,1988
604,973,4,1992
605,974,1,1993
606,975,2,1995
607,978,4,1999
608,982,2,2001
609,983,1,2002
610,986,2,2004
611,987,1,2005
612,989,2,2007
613,990,2,2009
614,992,1,2010
615,994,4,2014
616,995,1,2015
617,1002,1,2016
618,1004,1,2017
619,1006,1,2018
620,1009,1,2019
621,1015,1,2020
622,1022,1,2021
623,1023,1,2022
624,1029,1,2023
625,1030,2,2025
626,1031,1,2026
627,1032,4,2030
628,1036,1,2031
629,1044,2,2033
630,1045,1,2034
631,1051,3,2037
632,1058,1,2038
633,1059,1,2039
634,1063,3,2042
635,1066,1,2043
636,1070,2,2045
637,1072,1,2046
638,1073,4,2050
639,1074,1,2051
640,1077,1,2052
641,1078,1,2053
642,1088,1,2054
643,1093,1,2055
644,1100,1,2056
645,1101,4,2060
646,1102,1,2061
647,1106,1,2062
648,1107,2,2064
649,1108,1,2065
650,1109,1,2066
651,1110,1,2067
652,1112,4,2071
653,1113,2,2073
654,1114,10,2083
655,1115,1,2084
656,1116,4,2088
657,1117,4,2092
658,1120,2,2094
659,1121,1,2095
660,1122,4,2099
661,1124,1,2100
662,1125,3,2103
663,1126,6,2109
664,1127,1,2110
665,1128,3,2113
666,1129,2,2115
667,1130,4,2119
668,1131,3,2122
669,1133,4,2126
670,1134,6,2132
671,1135,1,2133
672,1136,1,2134
673,1137,2,2136
674,1138,2,2138
675,1140,3,2141
676,1141,1,2142
677,1142,3,2145
678,1143,3,2148
679,1144,1,2149
680,1147,1,2150
681,1148,2,2152
682,1149,1,2153
683,1150,4,2157
684,1154,6,2163
685,1155,2,2165
686,1156,1,2166
687,1157,5,2171
688,1158,1,2172
689,1159,1,2173
690,1162,3,2176
691,1163,3,2179
692,1165,4,2183
693,1167,2,2185
694,1168,1,2186
695,1169,5,2191
696,1170,2,2193
697,1171,1,2194
698,1178,1,2195
699,1179,1,2196
700,1184,1,2197
701,1185,5,2202
702,1186,2,2204
703,1190,1,2205
704,1192,2,2207
705,1193,1,2208
706,1196,1,2209
707,1197,2,2211
708,1198,1,2212
709,1199,1,2213
710,1202,1,2214
711,1203,3,2217
712,1204,2,2219
713,1205,2,2221
714,1210,2,2223
715,1211,2,2225
716,1212,1,2226
717,1213,2,2228
718,1214,1,2229
719,1217,1,2230
